Greenhouse_Gas_Source_And_Sink_Categors,Sheet,State,Year,value
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2004,154872.034
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2005,161633.6895
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2006,164544.1624
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2007,170978.0039
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2008,167551.1747
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2009,163482.2293
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2010,155943.4781
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2011,156721.2331
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2012,158772.01
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2013,150947.1892
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2014,149097.8558
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2015,142596.7634
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2016,134275.0541
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2017,137208.7199
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2018,143477.9094
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2019,135279.3336
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2020,132407.6432
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,1990,16575.25636
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,1991,17947.03668
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,1992,19826.69494
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,1993,19357.08551
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,1994,19884.22678
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,1995,22229.51234
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,1996,24596.33373
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,1997,22027.00249
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,1998,24315.0389
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,1999,22697.09166
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2000,24767.66739
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2001,19451.06337
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2002,19459.3953
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2003,19577.18962
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2004,11976.25527
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2005,12731.92826
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2006,19094.62992
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2007,18858.56484
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2008,13768.6085
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2009,18163.68366
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2010,12724.50365
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2011,10277.84224
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2012,7771.234532
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2013,11544.52261
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2014,14442.20627
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2015,11755.83253
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2016,13126.21757
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2017,14325.47776
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2018,10237.56449
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2019,17162.24977
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Northern Territory,Northern Territory,2020,17345.02159
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,1990,193271.6476
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,1991,188651.7609
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,1992,157823.9697
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,1993,152522.1943
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,1994,139946.3976
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,1995,134498.7766
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,1996,142530.0077
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,1997,138373.78
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,1998,138617.0455
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,1999,152715.6315
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2000,154264.8844
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2001,171127.5567
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2002,179991.5137
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2003,177233.3299
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2004,177025.4173
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2005,197339.3314
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2006,197518.9871
